time in s, LocalHeadX, LocalHeadY, LocalHeadZ,LocalHeadEulerX, LocalHeadEulerY, LocalHeadEulerZ, ControllerX, ControllerY, ControllerZ,ControllerEulerX, ControllerEulerY, ControllerEulerZ,PointerHead1X,PointerHead1Y,PointerHead1Z,PointerHand1X,PointerHand1Y,PointerHand1Z,RemoteHeadX, RemoteHeadY, RemoteHeadZ,RemoteHeadEulerX, RemoteHeadEulerY, RemoteHeadEulerZ, RemoteControllerX, RemoteontrollerY, RemoteControllerZ,ControllerEulerX, RemoteControllerEulerY, RemoteControllerEulerZ,PointerHead2X,PointerHead2Y,PointerHead2Z,PointerHand2X,PointerHand2Y,PointerHand2Z,PointerHeadTilt1X,PointerHeadTilt1Y,PointerHeadTilt1Z,PointerHeadTilt2X,PointerHeadTilt2Y,PointerHeadTilt2Z
0.375,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.310, 1.403, -0.277,45.971, 16.299, 4.307,0.493, 0.972, -0.334,27.546, 359.441, 4.928,0.469, 0.817, 0.267,0.490, 0.841, -0.083,null,null,null,0.397, 0.864, -0.032
0.381,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.404, -0.277,46.226, 16.094, 4.354,0.493, 0.972, -0.333,27.400, 359.416, 4.943,0.467, 0.816, 0.264,0.490, 0.826, -0.051,null,null,null,0.395, 0.865, -0.036
0.388,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.404, -0.277,46.226, 16.094, 4.354,0.493, 0.972, -0.333,27.400, 359.416, 4.943,0.467, 0.816, 0.264,0.490, 0.826, -0.051,null,null,null,0.395, 0.865, -0.036
0.395,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.404, -0.277,46.226, 16.094, 4.354,0.493, 0.972, -0.333,27.400, 359.416, 4.943,0.467, 0.816, 0.264,0.490, 0.826, -0.051,null,null,null,0.395, 0.865, -0.036
0.402,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.404, -0.277,46.226, 16.094, 4.354,0.493, 0.972, -0.333,27.400, 359.416, 4.943,0.467, 0.816, 0.264,0.490, 0.826, -0.051,null,null,null,0.395, 0.865, -0.036
0.409,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.404, -0.277,46.226, 16.094, 4.354,0.493, 0.972, -0.333,27.400, 359.416, 4.943,0.467, 0.816, 0.264,0.490, 0.826, -0.051,null,null,null,0.395, 0.865, -0.036
0.415,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.404, -0.277,46.226, 16.094, 4.354,0.493, 0.972, -0.333,27.400, 359.416, 4.943,0.467, 0.816, 0.264,0.490, 0.826, -0.051,null,null,null,0.395, 0.865, -0.036
0.422,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.404, -0.277,46.226, 16.094, 4.354,0.493, 0.972, -0.333,27.400, 359.416, 4.943,0.467, 0.816, 0.264,0.490, 0.826, -0.051,null,null,null,0.395, 0.865, -0.036
0.429,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.404, -0.277,46.226, 16.094, 4.354,0.493, 0.972, -0.333,27.400, 359.416, 4.943,0.467, 0.816, 0.264,0.490, 0.826, -0.051,null,null,null,0.395, 0.865, -0.036
0.436,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.311, 1.404, -0.277,46.226, 16.094, 4.354,0.493, 0.972, -0.333,27.400, 359.416, 4.943,0.467, 0.816, 0.264,0.490, 0.826, -0.051,null,null,null,0.395, 0.865, -0.036
